Model,Repetition,Fold,Accuracy,F2-Score,Precision,Recall,AUC
GaussianNB,0,2,0.8638941398865785,0.5191873589164786,0.2754491017964072,0.6666666666666666,0.797878108468516
RandomForest,0,2,0.9149338374291115,0.38461538461538464,0.36,0.391304347826087,0.7974018551896953
DecisionTree-pruned,0,2,0.8780718336483931,0.3238341968911917,0.22727272727272727,0.36231884057971014,0.6406192758019373
LogisticRegression,0,2,0.8648393194706995,0.49311926605504586,0.26875,0.6231884057971014,0.83879192860597
MLP,0,2,0.9064272211720227,0.45454545454545453,0.3469387755102041,0.4927536231884058,0.7856567166366261
KNN-3,0,2,0.8421550094517959,0.38461538461538464,0.20481927710843373,0.4927536231884058,0.6928679239753227
KNN-5,0,2,0.8232514177693762,0.38626609442060084,0.18947368421052632,0.5217391304347826,0.739899767002242
KNN-7,0,2,0.8109640831758034,0.38461538461538464,0.18048780487804877,0.5362318840579711,0.7420245893231342
GaussianNB,0,1,0.8364839319470699,0.4989384288747346,0.23618090452261306,0.6911764705882353,0.7918449197860963
RandomForest,0,1,0.9168241965973535,0.4722222222222222,0.38636363636363635,0.5,0.8444370172311348
DecisionTree-pruned,0,1,0.8922495274102079,0.32786885245901637,0.2553191489361702,0.35294117647058826,0.6364824717765895
LogisticRegression,0,1,0.8449905482041588,0.5257510729613734,0.25257731958762886,0.7205882352941176,0.8698900772430185
MLP,0,1,0.8790170132325141,0.5048076923076923,0.2916666666666667,0.6176470588235294,0.8116310160427808
KNN-3,0,1,0.8601134215500945,0.39473684210526316,0.22602739726027396,0.4852941176470588,0.7406714200831848
KNN-5,0,1,0.8421550094517959,0.43429844097995546,0.22033898305084745,0.5735294117647058,0.7703060011883542
KNN-7,0,1,0.833648393194707,0.43478260869565216,0.2127659574468085,0.5882352941176471,0.7887551990493168
GaussianNB,0,2,0.8638941398865785,0.5191873589164786,0.2754491017964072,0.6666666666666666,0.797878108468516
RandomForest,0,2,0.9149338374291115,0.38461538461538464,0.36,0.391304347826087,0.7974018551896953
